,whole_data,quantile,confidence_level,N,inf,sup
0,True,0.95,0.95,1000,2.1467125185378837,3.2198599776256183
1,True,0.95,0.99,1000,1.9730513264642116,3.3935211696992904
2,True,0.99,0.95,1000,2.679838935148458,4.741518425825337
3,True,0.99,0.99,1000,2.3462093719483117,5.075147989025483
4,True,0.95,0.95,10000,2.772194906331282,3.0096902221650526
5,True,0.95,0.99,10000,2.7337624250256223,3.048122703470712
6,True,0.99,0.95,10000,5.398892343251616,7.597118672927193
7,True,0.99,0.99,10000,5.0431662017726895,7.952844814406119
8,True,0.95,0.95,100000,2.8940799013667515,2.9729202043318192
9,True,0.95,0.99,100000,2.88132163512811,2.985678470570461
10,True,0.99,0.95,100000,5.965391736282067,6.27428700215482
11,True,0.99,0.99,100000,5.9154050176413895,6.324273720795497
12,True,0.95,0.95,1000000,2.9087529583598473,2.9322037106884693
13,True,0.95,0.99,1000000,2.9049580599328646,2.935998609115452
14,True,0.99,0.95,1000000,6.1850680754384975,6.294907231509061
15,True,0.99,0.99,1000000,6.167293445663206,6.312681861284353
16,False,0.95,0.95,1000,-1.1040663928499328,-1.069063088629236
17,False,0.95,0.99,1000,-1.109730773346767,-1.063398708132402
18,False,0.99,0.95,1000,0.02378612744247932,0.11567920537689647
19,False,0.99,0.99,1000,0.008915606786375277,0.13054972603300052
20,False,0.95,0.95,10000,-1.0823667190803825,-1.0692194904883656
21,False,0.95,0.99,10000,-1.0844942583765158,-1.0670919511922323
22,False,0.99,0.95,10000,0.10512981025955473,0.13421009196755943
23,False,0.99,0.99,10000,0.10042391793834166,0.1389159842887725
24,False,0.95,0.95,100000,-1.076932935105301,-1.0728314800871188
25,False,0.95,0.99,100000,-1.0775966496411389,-1.072167765551281
26,False,0.99,0.95,100000,0.1205627902706862,0.13091901589241825
27,False,0.99,0.99,100000,0.11888690270125307,0.13259490346185138
28,False,0.95,0.95,1000000,-1.0771930422706253,-1.0760415278976907
29,False,0.95,0.99,1000000,-1.0773793851231386,-1.0758551850451774
30,False,0.99,0.95,1000000,0.12348723964078356,0.12626018307024225
31,False,0.99,0.99,1000000,0.12303851038420777,0.12670891232681805
