batch,N,q,positive,value
1,1000,0.95,False,-1.2044641952609618
1,1000,0.97,False,-0.6477252842478644
1,1000,0.99,False,0.23362248334533514
1,1000,0.995,False,0.8422255256360102
1,1000,0.95,True,1.8681967101992094
1,1000,0.96,True,1.8692945377311578
1,1000,0.965,True,1.8698434514971318
1,1000,0.97,True,1.870392365263106
1,1000,0.975,True,1.87094127902908
1,1000,0.98,True,1.8714901927950545
1,1000,0.985,True,1.8720391065610285
1,1000,0.99,True,1.8725880203270027
1,1000,0.995,True,1.8731369340929769
1,1000,0.996,True,1.8732467168461717
1,1000,0.997,True,1.8733564995993666
1,1000,0.998,True,1.8734662823525614
1,10000,0.95,False,-1.1400651563117505
1,10000,0.97,False,-0.7414784965696027
1,10000,0.99,False,0.013616988802359868
1,10000,0.995,False,0.5902839567513571
1,10000,0.95,True,2.952113881023076
1,10000,0.96,True,3.0625098055100963
1,10000,0.965,True,3.2345160657782017
1,10000,0.97,True,3.4165500468328296
1,10000,0.975,True,3.494288576711894
1,10000,0.98,True,3.565440025464082
1,10000,0.985,True,3.6351719761770047
1,10000,0.99,True,3.7048453908883077
1,10000,0.995,True,3.9050646488369347
1,10000,0.996,True,3.945635958379133
1,10000,0.997,True,3.9862072679213316
1,10000,0.998,True,4.02677857746353
1,100000,0.95,False,-1.0641987948591924
1,100000,0.97,False,-0.6888972631618602
1,100000,0.99,False,0.14911251662676436
1,100000,0.995,False,0.7584469366563231
1,100000,0.95,True,3.3355404800573645
1,100000,0.96,True,3.6544651100576027
1,100000,0.965,True,3.849504526814573
1,100000,0.97,True,4.0252608979154365
1,100000,0.975,True,4.460104532183569
1,100000,0.98,True,5.0820470848607044
1,100000,0.985,True,5.295458537474067
1,100000,0.99,True,6.054584603104232
1,100000,0.995,True,9.211201130928362
1,100000,0.996,True,10.10647379961525
1,100000,0.997,True,10.872030042985525
1,100000,0.998,True,11.331223631049461
1,1000000,0.95,False,-1.0735404520465035
1,1000000,0.97,False,-0.695137090141541
1,1000000,0.99,False,0.12561889340626925
1,1000000,0.995,False,0.6744337840009916
1,1000000,0.95,True,2.8984359684260683
1,1000000,0.96,True,3.231934050944866
1,1000000,0.965,True,3.471308073883097
1,1000000,0.97,True,3.7379098543584393
1,1000000,0.975,True,4.030745980809027
1,1000000,0.98,True,4.484886872294938
1,1000000,0.985,True,5.001514155730616
1,1000000,0.99,True,6.178933582949885
1,1000000,0.995,True,8.879793195182057
1,1000000,0.996,True,11.133900571038122
1,1000000,0.997,True,13.065303910214396
1,1000000,0.998,True,15.86681414479872
2,1000,0.95,False,-1.0739587767421601
2,1000,0.97,False,-0.5024663850172394
2,1000,0.99,False,0.5174113948238618
2,1000,0.995,False,0.7051525441207449
2,1000,0.95,True,1.2193993813661295
2,1000,0.96,True,1.3215927631900264
2,1000,0.965,True,1.3726894541019736
2,1000,0.97,True,1.423786145013921
2,1000,0.975,True,1.4748828359258686
2,1000,0.98,True,1.525979526837816
2,1000,0.985,True,1.5770762177497635
2,1000,0.99,True,1.6281729086617107
2,1000,0.995,True,1.6792695995736582
2,1000,0.996,True,1.689488937756048
2,1000,0.997,True,1.6997082759384379
2,1000,0.998,True,1.7099276141208257
2,10000,0.95,False,-1.0505909536266849
2,10000,0.97,False,-0.6591701502727678
2,10000,0.99,False,0.11178536755288251
2,10000,0.995,False,0.7781585283557264
2,10000,0.95,True,2.7568973903121443
2,10000,0.96,True,2.872702968433523
2,10000,0.965,True,2.8757096583392343
2,10000,0.97,True,2.9635903801679606
2,10000,0.975,True,3.134976197920941
2,10000,0.98,True,3.526504011506849
2,10000,0.985,True,4.031055409669614
2,10000,0.99,True,4.7802921071472095
2,10000,0.995,True,5.136550480684677
2,10000,0.996,True,5.160848901103215
2,10000,0.997,True,5.1851473215217565
2,10000,0.998,True,5.209445741940298
2,100000,0.95,False,-1.086813154918415
2,100000,0.97,False,-0.7047663307233567
2,100000,0.99,False,0.08524719385244695
2,100000,0.995,False,0.64891501515723
2,100000,0.95,True,2.8496371873730837
2,100000,0.96,True,3.1448933548247306
2,100000,0.965,True,3.263865804445866
2,100000,0.97,True,3.5167142892330587
2,100000,0.975,True,3.8265230728904918
2,100000,0.98,True,4.308194861465208
2,100000,0.985,True,4.793206705340324
2,100000,0.99,True,5.310890891910275
2,100000,0.995,True,6.607076229083596
2,100000,0.996,True,7.54622028343525
2,100000,0.997,True,7.714390064746105
2,100000,0.998,True,7.766284727165274
2,1000000,0.95,False,-1.0758119889791866
2,1000000,0.97,False,-0.6997837751593657
2,1000000,0.99,False,0.1270941783515074
2,1000000,0.995,False,0.6871221479815963
2,1000000,0.95,True,2.9345771548808925
2,1000000,0.96,True,3.2822944184130205
2,1000000,0.965,True,3.570358873457369
2,1000000,0.97,True,3.8167542170832083
2,1000000,0.975,True,4.193697838837738
2,1000000,0.98,True,4.621319491894916
2,1000000,0.985,True,5.117507530671259
2,1000000,0.99,True,6.53414665305733
2,1000000,0.995,True,8.824890763375207
2,1000000,0.996,True,9.79160525378068
2,1000000,0.997,True,11.843945498626342
2,1000000,0.998,True,14.941468542465842
3,1000,0.95,False,-1.1499496968163132
3,1000,0.97,False,-0.8114822864439873
3,1000,0.99,False,-0.35489219062654476
3,1000,0.995,False,0.32514040672539757
3,1000,0.95,True,0.7154213090673298
3,1000,0.96,True,0.7189806330587636
3,1000,0.965,True,0.7207602950544802
3,1000,0.97,True,0.7225399570501971
3,1000,0.975,True,0.724319619045914
3,1000,0.98,True,0.7260992810416307
3,1000,0.985,True,0.7278789430373476
3,1000,0.99,True,0.7296586050330643
3,1000,0.995,True,0.7314382670287811
3,1000,0.996,True,0.7317941994279246
3,1000,0.997,True,0.732150131827068
3,1000,0.998,True,0.7325060642262113
3,10000,0.95,False,-1.0356547017934732
3,10000,0.97,False,-0.6364770633304604
3,10000,0.99,False,0.26049987488857135
3,10000,0.995,False,0.810616387390523
3,10000,0.95,True,3.139085102822767
3,10000,0.96,True,3.4526060089868635
3,10000,0.965,True,3.698977535544282
3,10000,0.97,True,3.901639729775414
3,10000,0.975,True,3.952335200941858
3,10000,0.98,True,4.65400226241311
3,10000,0.985,True,6.072783765498838
3,10000,0.99,True,6.557474165802034
3,10000,0.995,True,10.967453968915644
3,10000,0.996,True,12.661213797068072
3,10000,0.997,True,14.35497362522086
3,10000,0.998,True,16.048733453373288
3,100000,0.95,False,-1.0770687392614657
3,100000,0.97,False,-0.7051800790019203
3,100000,0.99,False,0.13204930329390946
3,100000,0.995,False,0.6967110514675358
3,100000,0.95,True,3.2254049655469865
3,100000,0.96,True,3.555261737192097
3,100000,0.965,True,3.786093651773074
3,100000,0.97,True,4.080685309721226
3,100000,0.975,True,4.317960101967545
3,100000,0.98,True,4.688445074787116
3,100000,0.985,True,5.0444156328931955
3,100000,0.99,True,5.599084528754628
3,100000,0.995,True,7.486563002901831
3,100000,0.996,True,8.328994567449717
3,100000,0.997,True,10.750689746700953
3,100000,0.998,True,12.118100792074564
3,1000000,0.95,False,-1.0803068271249467
3,1000000,0.97,False,-0.7046292691465439
3,1000000,0.99,False,0.11178283319418345
3,1000000,0.995,False,0.6689651729476495
3,1000000,0.95,True,2.868501710859215
3,1000000,0.96,True,3.2357132209490524
3,1000000,0.965,True,3.474187680325801
3,1000000,0.97,True,3.668757633385317
3,1000000,0.975,True,3.9888796635668067
3,1000000,0.98,True,4.463995324610222
3,1000000,0.985,True,5.194189176178478
3,1000000,0.99,True,6.475791301144514
3,1000000,0.995,True,9.056948748059863
